"Site","Mark","Individual","Orientation","Altitude","Plot","ID","Site_Plot","Date","Days","Emergence","Emergence.overall"
"ND1","A01","d","N","D","A","ND1 A01 d","ND1 A",2018-06-08,68,1,TRUE
"ND1","A01","i","N","D","A","ND1 A01 i","ND1 A",2018-06-08,68,1,TRUE
"ND1","A02","d","N","D","A","ND1 A02 d","ND1 A",2018-06-08,68,1,TRUE
"ND1","A02","i","N","D","A","ND1 A02 i","ND1 A",2018-06-08,68,1,TRUE
"ND1","A03","d","N","D","A","ND1 A03 d","ND1 A",2018-05-22,51,1,TRUE
"ND1","A03","i","N","D","A","ND1 A03 i","ND1 A",2018-05-22,51,1,TRUE
"ND1","A04","d","N","D","A","ND1 A04 d","ND1 A",2019-01-28,302,0,FALSE
"ND1","A04","i","N","D","A","ND1 A04 i","ND1 A",2019-01-28,302,0,FALSE
"ND1","A05","d","N","D","A","ND1 A05 d","ND1 A",2019-01-28,302,0,FALSE
"ND1","A05","i","N","D","A","ND1 A05 i","ND1 A",2018-06-08,68,1,TRUE
"ND1","A06","d","N","D","A","ND1 A06 d","ND1 A",2019-01-28,302,0,FALSE
"ND1","A06","i","N","D","A","ND1 A06 i","ND1 A",2018-06-08,68,1,TRUE
"ND1","A07","d","N","D","A","ND1 A07 d","ND1 A",2019-01-28,302,0,FALSE
"ND1","A07","i","N","D","A","ND1 A07 i","ND1 A",2018-06-08,68,1,TRUE
"ND1","A08","d","N","D","A","ND1 A08 d","ND1 A",2019-01-28,302,0,FALSE
"ND1","A08","i","N","D","A","ND1 A08 i","ND1 A",2019-01-28,302,0,FALSE
"ND1","A09","d","N","D","A","ND1 A09 d","ND1 A",2018-06-08,68,1,TRUE
"ND1","A09","i","N","D","A","ND1 A09 i","ND1 A",2019-01-28,302,0,FALSE
"ND1","A10","d","N","D","A","ND1 A10 d","ND1 A",2018-06-08,68,1,TRUE
"ND1","A10","i","N","D","A","ND1 A10 i","ND1 A",2018-06-08,68,1,TRUE
"ND1","A11","d","N","D","A","ND1 A11 d","ND1 A",2019-01-28,302,0,FALSE
"ND1","A11","i","N","D","A","ND1 A11 i","ND1 A",2019-01-28,302,0,FALSE
"ND1","A12","d","N","D","A","ND1 A12 d","ND1 A",2019-01-28,302,0,FALSE
"ND1","A12","i","N","D","A","ND1 A12 i","ND1 A",2018-06-08,68,1,TRUE
"ND1","A13","d","N","D","A","ND1 A13 d","ND1 A",2019-01-28,302,0,FALSE
"ND1","A13","i","N","D","A","ND1 A13 i","ND1 A",2018-06-08,68,1,TRUE
"ND1","A14","d","N","D","A","ND1 A14 d","ND1 A",2018-06-08,68,1,TRUE
"ND1","A14","i","N","D","A","ND1 A14 i","ND1 A",2018-06-08,68,1,TRUE
"ND1","A15","d","N","D","A","ND1 A15 d","ND1 A",2019-01-28,302,0,FALSE
"ND1","A15","i","N","D","A","ND1 A15 i","ND1 A",2018-05-22,51,1,TRUE
"ND1","A16","d","N","D","A","ND1 A16 d","ND1 A",2018-05-22,51,1,TRUE
"ND1","A16","i","N","D","A","ND1 A16 i","ND1 A",2019-01-28,302,0,FALSE
"ND1","A17","d","N","D","A","ND1 A17 d","ND1 A",2018-06-08,68,1,TRUE
