"Date","Site","PP","Orientation","Altitude"
2018-05-07,"ND1",74,"N","D"
2018-05-24,"ND1",58,"N","D"
2018-06-11,"ND1",19,"N","D"
2018-06-29,"ND1",44,"N","D"
2018-07-16,"ND1",15,"N","D"
2018-08-01,"ND1",140,"N","D"
2018-08-17,"ND1",30,"N","D"
2018-09-01,"ND1",0,"N","D"
2018-09-14,"ND1",20,"N","D"
2018-09-27,"ND1",24,"N","D"
2018-10-13,"ND1",NA,"N","D"
2018-11-15,"ND1",NA,"N","D"
2018-12-03,"ND1",54,"N","D"
2018-12-15,"ND1",18,"N","D"
2018-12-30,"ND1",72,"N","D"
2019-01-15,"ND1",25,"N","D"
2019-02-02,"ND1",15,"N","D"
2019-02-16,"ND1",20,"N","D"
2019-02-28,"ND1",5,"N","D"
2019-03-20,"ND1",130,"N","D"
2019-04-06,"ND1",26,"N","D"
2019-04-28,"ND1",0,"N","D"
2018-05-07,"ND2",74,"N","D"
2018-05-24,"ND2",60,"N","D"
2018-06-11,"ND2",20,"N","D"
2018-06-29,"ND2",48,"N","D"
2018-07-16,"ND2",17,"N","D"
2018-08-01,"ND2",140,"N","D"
2018-08-17,"ND2",28,"N","D"
2018-09-01,"ND2",0,"N","D"
2018-09-14,"ND2",22,"N","D"
2018-09-27,"ND2",26,"N","D"
2018-10-13,"ND2",NA,"N","D"
2018-11-15,"ND2",NA,"N","D"
2018-12-03,"ND2",37,"N","D"
2018-12-15,"ND2",17,"N","D"
2018-12-30,"ND2",70,"N","D"
2019-01-15,"ND2",28,"N","D"
2019-02-02,"ND2",16,"N","D"
2019-02-16,"ND2",22,"N","D"
2019-02-28,"ND2",6,"N","D"
2019-03-20,"ND2",128,"N","D"
2019-04-06,"ND2",27,"N","D"
2019-04-28,"ND2",0,"N","D"
2018-05-07,"SD1",65,"S","D"
2018-05-24,"SD1",64,"S","D"
2018-06-11,"SD1",20,"S","D"
2018-06-29,"SD1",48,"S","D"
2018-07-16,"SD1",20,"S","D"
2018-08-01,"SD1",110,"S","D"
2018-08-17,"SD1",54,"S","D"
2018-09-01,"SD1",0,"S","D"
2018-09-14,"SD1",24,"S","D"
2018-09-27,"SD1",28,"S","D"
2018-10-13,"SD1",NA,"S","D"
2018-11-15,"SD1",NA,"S","D"
2018-12-03,"SD1",46,"S","D"
2018-12-15,"SD1",18,"S","D"
2018-12-30,"SD1",72,"S","D"
2019-01-15,"SD1",20,"S","D"
2019-02-02,"SD1",11,"S","D"
2019-02-16,"SD1",24,"S","D"
2019-02-28,"SD1",5,"S","D"
2019-03-20,"SD1",131,"S","D"
2019-04-06,"SD1",24,"S","D"
2019-04-28,"SD1",0,"S","D"
2018-05-07,"SD2",67,"S","D"
2018-05-24,"SD2",63,"S","D"
2018-06-11,"SD2",21,"S","D"
2018-06-29,"SD2",58,"S","D"
2018-07-16,"SD2",20,"S","D"
2018-08-01,"SD2",120,"S","D"
2018-08-17,"SD2",48,"S","D"
2018-09-01,"SD2",0,"S","D"
2018-09-14,"SD2",25,"S","D"
2018-09-27,"SD2",27,"S","D"
2018-10-13,"SD2",NA,"S","D"
2018-11-15,"SD2",NA,"S","D"
2018-12-03,"SD2",52,"S","D"
2018-12-15,"SD2",16,"S","D"
2018-12-30,"SD2",70,"S","D"
2019-01-15,"SD2",22,"S","D"
2019-02-02,"SD2",13,"S","D"
2019-02-16,"SD2",25,"S","D"
2019-02-28,"SD2",5,"S","D"
2019-03-20,"SD2",129,"S","D"
2019-04-06,"SD2",25,"S","D"
2019-04-28,"SD2",0,"S","D"
2018-05-07,"SM1",62,"S","M"
2018-05-24,"SM1",60,"S","M"
2018-06-11,"SM1",21,"S","M"
2018-06-29,"SM1",45,"S","M"
2018-07-16,"SM1",18,"S","M"
2018-08-01,"SM1",140,"S","M"
2018-08-17,"SM1",46,"S","M"
2018-09-01,"SM1",0,"S","M"
2018-09-14,"SM1",26,"S","M"
2018-09-27,"SM1",36,"S","M"
2018-10-13,"SM1",NA,"S","M"
2018-11-15,"SM1",NA,"S","M"
2018-12-03,"SM1",32,"S","M"
2018-12-15,"SM1",16,"S","M"
2018-12-30,"SM1",66,"S","M"
2019-01-15,"SM1",20,"S","M"
2019-02-02,"SM1",22,"S","M"
2019-02-16,"SM1",30,"S","M"
2019-02-28,"SM1",4,"S","M"
2019-03-20,"SM1",132,"S","M"
2019-04-06,"SM1",24,"S","M"
2019-04-28,"SM1",0,"S","M"
2018-05-07,"SM2",65,"S","M"
2018-05-24,"SM2",61,"S","M"
2018-06-11,"SM2",21,"S","M"
2018-06-29,"SM2",50,"S","M"
2018-07-16,"SM2",20,"S","M"
2018-08-01,"SM2",140,"S","M"
2018-08-17,"SM2",44,"S","M"
2018-09-01,"SM2",0,"S","M"
2018-09-14,"SM2",28,"S","M"
2018-09-27,"SM2",30,"S","M"
2018-10-13,"SM2",NA,"S","M"
2018-11-15,"SM2",NA,"S","M"
2018-12-03,"SM2",42,"S","M"
2018-12-15,"SM2",18,"S","M"
2018-12-30,"SM2",68,"S","M"
2019-01-15,"SM2",20,"S","M"
2019-02-02,"SM2",18,"S","M"
2019-02-16,"SM2",30,"S","M"
2019-02-28,"SM2",5,"S","M"
