"Site","Mark","Individual","Orientation","Altitude","Plot","ID","Site_Plot","Date","Days","Days.mort","Mortality","Mortality.overall"
"ND1","A01","d","N","D","A","ND1 A01 d","ND1 A",2018-08-28,149,81,1,TRUE
"ND1","A01","i","N","D","A","ND1 A01 i","ND1 A",2018-08-14,135,67,1,TRUE
"ND1","A02","d","N","D","A","ND1 A02 d","ND1 A",2019-01-11,285,217,1,TRUE
"ND1","A02","i","N","D","A","ND1 A02 i","ND1 A",2020-02-27,697,629,0,FALSE
"ND1","A03","d","N","D","A","ND1 A03 d","ND1 A",2018-07-05,95,44,1,TRUE
"ND1","A03","i","N","D","A","ND1 A03 i","ND1 A",2019-01-11,285,234,1,TRUE
"ND1","A05","i","N","D","A","ND1 A05 i","ND1 A",2019-01-11,285,217,1,TRUE
"ND1","A06","i","N","D","A","ND1 A06 i","ND1 A",2018-12-07,250,182,1,TRUE
"ND1","A07","i","N","D","A","ND1 A07 i","ND1 A",2018-08-14,135,67,1,TRUE
"ND1","A09","d","N","D","A","ND1 A09 d","ND1 A",2019-01-11,285,217,1,TRUE
"ND1","A10","d","N","D","A","ND1 A10 d","ND1 A",2018-11-23,236,168,1,TRUE
"ND1","A10","i","N","D","A","ND1 A10 i","ND1 A",2019-01-11,285,217,1,TRUE
"ND1","A12","i","N","D","A","ND1 A12 i","ND1 A",2018-09-24,176,108,1,TRUE
"ND1","A13","i","N","D","A","ND1 A13 i","ND1 A",2019-02-12,317,249,1,TRUE
"ND1","A14","d","N","D","A","ND1 A14 d","ND1 A",2018-07-05,95,27,1,TRUE
"ND1","A14","i","N","D","A","ND1 A14 i","ND1 A",2018-07-05,95,27,1,TRUE
"ND1","A15","i","N","D","A","ND1 A15 i","ND1 A",2019-02-12,317,266,1,TRUE
"ND1","A16","d","N","D","A","ND1 A16 d","ND1 A",2019-01-11,285,234,1,TRUE
"ND1","A17","d","N","D","A","ND1 A17 d","ND1 A",2018-08-28,149,81,1,TRUE
"ND1","A19","i","N","D","A","ND1 A19 i","ND1 A",2019-01-28,302,251,1,TRUE
"ND1","A20","d","N","D","A","ND1 A20 d","ND1 A",2019-01-11,285,217,1,TRUE
"ND1","B01","d","N","D","B","ND1 B01 d","ND1 B",2019-02-12,317,168,1,TRUE
"ND1","B02","d","N","D","B","ND1 B02 d","ND1 B",2019-01-11,285,136,1,TRUE
"ND1","B03","d","N","D","B","ND1 B03 d","ND1 B",2019-01-11,285,190,1,TRUE
"ND1","B03","i","N","D","B","ND1 B03 i","ND1 B",2018-08-14,135,67,1,TRUE
"ND1","B04","d","N","D","B","ND1 B04 d","ND1 B",2018-08-28,149,81,1,TRUE
"ND1","B05","d","N","D","B","ND1 B05 d","ND1 B",2019-02-27,332,264,1,TRUE
