"Date","Plot","Site","A","G","NG","R","SD","veg_height","Site_Plot","Orientation","Altitude"
2018-08-14,"A","ND1",10,30,60,0,0,3.8,"ND1 A","N","D"
2018-08-14,"A","ND2",20,30,20,0,30,6.8,"ND2 A","N","D"
2018-08-14,"A","SD1",10,50,10,0,30,11.8,"SD1 A","S","D"
2018-08-14,"A","SD2",30,60,10,0,0,20,"SD2 A","S","D"
2018-08-14,"A","SM1",30,30,30,10,0,26.4,"SM1 A","S","M"
2018-08-14,"A","SM2",20,50,20,10,0,24.2,"SM2 A","S","M"
2018-08-14,"B","ND1",10,25,65,0,0,3.4,"ND1 B","N","D"
2018-08-14,"B","ND2",10,40,20,5,25,5.8,"ND2 B","N","D"
2018-08-14,"B","SD1",10,90,0,0,0,24,"SD1 B","S","D"
2018-08-14,"B","SD2",20,75,5,0,0,11.8,"SD2 B","S","D"
2018-08-14,"B","SM1",40,35,10,5,10,24.6,"SM1 B","S","M"
2018-08-14,"B","SM2",10,45,25,10,10,23,"SM2 B","S","M"
2018-08-14,"C","ND1",5,40,55,0,0,7,"ND1 C","N","D"
2018-08-14,"C","ND2",20,30,30,0,20,5.6,"ND2 C","N","D"
2018-08-14,"C","SD1",20,80,0,0,0,23.4,"SD1 C","S","D"
2018-08-14,"C","SD2",20,75,5,0,0,14.8,"SD2 C","S","D"
2018-08-14,"C","SM1",10,60,15,15,0,36,"SM1 C","S","M"
2018-08-14,"C","SM2",30,50,20,0,0,17.2,"SM2 C","S","M"
2018-08-14,"D","ND1",5,30,65,0,0,5,"ND1 D","N","D"
2018-08-14,"D","ND2",20,30,20,5,25,9.8,"ND2 D","N","D"
2018-08-14,"D","SD1",0,90,10,0,0,24,"SD1 D","S","D"
2018-08-14,"D","SD2",20,70,10,0,0,16.6,"SD2 D","S","D"
2018-08-14,"D","SM1",20,40,30,10,0,25,"SM1 D","S","M"
2018-08-14,"D","SM2",20,30,10,10,30,19,"SM2 D","S","M"
2018-08-14,"E","ND1",10,25,65,0,0,3.4,"ND1 E","N","D"
2018-08-14,"E","ND2",20,30,20,0,30,15,"ND2 E","N","D"
2018-08-14,"E","SD1",5,95,0,0,0,22.6,"SD1 E","S","D"
2018-08-14,"E","SD2",10,85,5,0,0,26,"SD2 E","S","D"
2018-08-14,"E","SM1",10,50,30,10,0,14.8,"SM1 E","S","M"
2018-08-14,"E","SM2",15,45,30,10,0,19.2,"SM2 E","S","M"
2018-08-17,"A","NM1",10,50,25,0,15,10.8,"NM1 A","N","M"
2018-08-17,"A","NM2",10,50,30,10,0,14.6,"NM2 A","N","M"
2018-08-17,"A","NU1",0,70,30,0,0,8.2,"NU1 A","N","U"
2018-08-17,"A","NU2",5,80,15,0,0,11.4,"NU2 A","N","U"
2018-08-17,"A","SU1",0,80,20,0,0,9.4,"SU1 A","S","U"
2018-08-17,"A","SU2",0,70,10,0,20,4,"SU2 A","S","U"
2018-08-17,"B","NM1",5,35,30,0,30,4.4,"NM1 B","N","M"
2018-08-17,"B","NM2",5,50,35,10,0,20,"NM2 B","N","M"
2018-08-17,"B","NU1",0,80,20,0,0,4.2,"NU1 B","N","U"
2018-08-17,"B","NU2",0,70,30,0,0,6.2,"NU2 B","N","U"
2018-08-17,"B","SU1",20,60,20,0,0,8,"SU1 B","S","U"
